Timestamp: 2026-09-17T19:10:47.256Z | Architecture: WITHOUT_FOG | TxHash: 0x8f385d3c5c9d69af6f0efaf406bd0927c352959006b73f83c930c6ab7adfadc4 | CID: QmXbdJL7RsdX9DhpjMhD1WFfFmaazMZetFjdkVmz41PU6t | Latency: 91.737 ms | IPFS Storage Time: 89.901 ms | Throughput: 0.0057 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:11:26.706Z | Architecture: WITHOUT_FOG | TxHash: 0x42ec6921d2b36d1b6ef7e453e285154bff65843a3038f37f8d7a7a7de86cd9d4 | CID: QmbmvDrxzGmEgaQ2Ky3ceZh14BPfuAoLSZ6WVTC7JgPzX2 | Latency: 39.497 ms | IPFS Storage Time: 34.417 ms | Throughput: 0.006 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:11:54.818Z | Architecture: WITHOUT_FOG | TxHash: 0x31ce046d964d81f972d1aeba922e3517b594e00e58e1c5f6dbbf3940cf2c221e | CID: QmTNF1ziqPz5JbevaaUbws7Y6uRxg2dPgciDZdSsq72kyy | Latency: 161.349 ms | IPFS Storage Time: 150.715 ms | Throughput: 0.0062 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:12:13.339Z | Architecture: WITHOUT_FOG | TxHash: 0xc8f5d9ce9185cb4a60fba0225ebc0a95382fc9f107c7ceda800ef731bfc9393d | CID: QmW7FDGYZDpqzbjQ5CmVBoKT9qjDFNqiNDRJgHdmMgeEvN | Latency: 48.573 ms | IPFS Storage Time: 42.292 ms | Throughput: 0.0065 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:13:03.806Z | Architecture: WITHOUT_FOG | TxHash: 0xcc158d6ab8c19005e492a2f2df823b38d51185a2bd754442553c55bcac850dab | CID: QmSXwcMU9D2WjszDM29frwzoLmdN9AZvgcvwWs5yy6x4hr | Latency: 75.75 ms | IPFS Storage Time: 72.829 ms | Throughput: 0.0067 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:13:43.368Z | Architecture: WITHOUT_FOG | TxHash: 0x42f95568395c59488c6d5bb6b2c4e4869999a32302f593feeb345a710f939e6f | CID: QmRu6NiAFD73KSMZHLq6KahRRiNxcbzTQ2FsXWNLNr8ywU | Latency: 75.594 ms | IPFS Storage Time: 73.743 ms | Throughput: 0.007 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:14:18.880Z | Architecture: WITHOUT_FOG | TxHash: 0xc06b061d3e4d7304249def443b41d5c788ebc2ffea8db083086073e729fe4928 | CID: QmUWbboi5491ZQHYb6363jnzfKjaCcEwC6uWJAXYLKPLzr | Latency: 411.24 ms | IPFS Storage Time: 234.87 ms | Throughput: 0.0072 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:14:42.250Z | Architecture: WITHOUT_FOG | TxHash: 0xdb8e560064da369440001c6ac79683a43f801dfb5d9eaa3c71fb75f067d9140d | CID: QmYEErGXzBr2SbR9sTdbGHkrEXKkJr1uGZSbg1saweAnyi | Latency: 81.769 ms | IPFS Storage Time: 78.927 ms | Throughput: 0.0075 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:15:10.626Z | Architecture: WITHOUT_FOG | TxHash: 0x806cba7de415a94263f88b94ee351b3e40a1dc50115160e1fc6785e109cccca4 | CID: QmZtpCYTS3CAPvT3wpRkq5MNb73Wnmqo1SMAnaiSjStPxa | Latency: 88.271 ms | IPFS Storage Time: 85.857 ms | Throughput: 0.0077 TPS | Status: SUCCESS
Timestamp: 2026-09-17T19:15:35.269Z | Architecture: WITHOUT_FOG | TxHash: 0xc5b949c903a5611b9f88c731393e00d22d280450b39b607296e5c64ee2f8fb29 | CID: QmTuTmN3sgFn9RBGZ8PHkYuMA9HonZQ7J8aDaXqSjzLHsr | Latency: 37.326 ms | IPFS Storage Time: 29.224 ms | Throughput: 0.008 TPS | Status: SUCCESS
